calibdensity_B41	depth_calibdensity_B41
0.3752548	0.1714286
0.377284	0.1715766
0.3763277	0.1717246
0.3742986	0.1718727
0.3742286	0.1720207
0.3758379	0.1721688
0.3730158	0.1723168
0.3733656	0.1724648
0.3687475	0.1726129
0.37094	0.1727609
0.3717563	0.172909
0.3719195	0.173057
0.3714297	0.173205
0.3685376	0.1733531
0.3711266	0.1735011
0.3726426	0.1736491
0.3751149	0.1737972
0.3726892	0.1739452
0.3705901	0.1740933
0.3718262	0.1742413
0.370007	0.1743893
0.3717096	0.1745374
0.369214	0.1746854
0.3696571	0.1748335
0.3679779	0.1749815
0.3681878	0.1751295
0.368421	0.1752776
0.3703802	0.1754256
0.3716163	0.1755736
0.3732957	0.1757217
0.373249	0.1758697
0.3695638	0.1760178
0.3703102	0.1761658
0.3724793	0.1763138
0.3737388	0.1764619
0.3720595	0.1766099
0.3761178	0.176758
0.3711732	0.176906
0.3746951	0.177054
0.3728058	0.1772021
0.3762811	0.1773501
0.3767475	0.1774981
0.377144	0.1776462
0.3783335	0.1777942
0.3756513	0.1779423
0.3743685	0.1780903
0.3763044	0.1782383
0.3742986	0.1783864
0.3726192	0.1785344
0.3756513	0.1786825
0.3739953	0.1788305
0.3734589	0.1789785
0.3702869	0.1791266
0.3695638	0.1792746
0.3728058	0.1794226
0.3709166	0.1795707
0.3661119	0.1797187
0.3671848	0.1798668
0.3665784	0.1800148
0.3671382	0.1801628
